SalesID,CustID,PaymentMethod,PaymentDate,PaymentID,PaymentAmount,LoanID,Bank Name
SO240155,29762,BankTransfer,02-01-2024,P20358,109500,,ICICI
SO240156,27103,CreditCard,03-01-2024,P20359,16200,LDE3056,Andhra Bank
SO240157,30121,UPI,03-01-2024,P20360,27840,LDE3057,Canara Bank
SO240158,27016,Cash,03-01-2024,P20361,169000,,NetCash
SO240159,27175,Cash,03-01-2024,P20362,87000,,NetCash
SO240160,30428,DebitCard,03-01-2024,P20363,68450,,ICICI
SO240161,27765,UPI,03-01-2024,P20364,20850,LDE3061,Axis
SO240162,30797,AutoDebitEMI,03-01-2024,P20365,18357,LDE3062,Canara Bank
SO240163,30062,UPI,03-01-2024,P20366,24900,LDE3063,HDFC
SO240164,25360,BankTransfer,03-01-2024,P20367,147000,,Canara Bank
SO240165,28044,CreditCard,03-01-2024,P20368,54621,LDE3065,Axis
SO240166,28132,CreditCard,03-01-2024,P20369,39071.4,LDE3066,Canara Bank
SO240167,27796,UPI,03-01-2024,P20370,16755.6,LDE3067,Andhra Bank
SO240168,29935,BankTransferEMI,03-01-2024,P20371,15900,LDE3068,HDFC
SO240169,30310,UPI,03-01-2024,P20372,37200,LDE3069,Andhra Bank
SO240170,29741,BankTransferEMI,03-01-2024,P20373,26850,LDE3070,Axis
SO240171,28681,Cash,03-01-2024,P20374,53000,,NetCash
SO240172,25686,AutoDebitEMI,03-01-2024,P20375,38827.8,LDE3072,Andhra Bank
SO240173,27018,DebitCard,03-01-2024,P20376,54500,,ICICI
SO240174,30916,Cash,03-01-2024,P20377,132000,,NetCash
SO240175,26576,UPI,03-01-2024,P20378,58452,LDE3075,Canara Bank
SO240176,29337,UPI,03-01-2024,P20379,19050,LDE3076,Andhra Bank
SO240177,26577,Cash,03-01-2024,P20380,70500,,NetCash
SO240178,26419,DebitCard,03-01-2024,P20381,49614,,Axis
SO240179,25158,Cash,03-01-2024,P20382,68970,,NetCash
SO240180,26554,CreditCard,03-01-2024,P20383,47983.5,LDE3080,ICICI
SO240181,26035,BankTransfer,03-01-2024,P20384,70000,,Canara Bank
SO240182,30587,DebitCard,03-01-2024,P20385,67740,,ICICI
SO240183,26081,AutoDebitEMI,03-01-2024,P20386,27831,LDE3083,ICICI
SO240184,27513,UPI,04-01-2024,P20387,18792,LDE3084,ICICI
SO240185,25229,BankTransferEMI,04-01-2024,P20388,32250,LDE3085,Axis
SO240186,27158,Cash,04-01-2024,P20389,43304,,NetCash
SO240187,27384,DebitCard,04-01-2024,P20390,110665,,Axis
SO240188,25057,BankTransfer,04-01-2024,P20391,9077,,ICICI
SO240189,26533,DebitCard,04-01-2024,P20392,91644,,HDFC
SO240190,26624,AutoDebitEMI,04-01-2024,P20393,57000,LDE3090,HDFC
SO240191,28088,DebitCard,04-01-2024,P20394,67500,,Axis
SO240192,28669,CreditCard,04-01-2024,P20395,29550,LDE3092,HDFC
SO240193,29468,AutoDebitEMI,04-01-2024,P20396,20550,LDE3093,Andhra Bank
SO240194,29745,Cash,04-01-2024,P20397,130238,,NetCash
SO240195,30456,Cash,04-01-2024,P20398,72500,,NetCash
SO240196,28727,CreditCard,04-01-2024,P20399,22050,LDE3096,ICICI
SO240197,26945,Cash,04-01-2024,P20400,93270,,NetCash
SO240198,27865,BankTransfer,04-01-2024,P20401,115321,,Andhra Bank
SO240199,29912,CreditCard,04-01-2024,P20402,27003,LDE3099,Canara Bank
SO240200,25740,UPI,04-01-2024,P20403,33199.5,LDE3100,HDFC
SO240201,27788,BankTransferEMI,04-01-2024,P20404,23550,LDE3101,Canara Bank
SO240202,26971,BankTransfer,04-01-2024,P20405,75500,,HDFC
SO240203,25377,AutoDebitEMI,04-01-2024,P20406,23550,LDE3103,HDFC
SO240204,30371,BankTransfer,04-01-2024,P20407,80500,,HDFC
SO240205,31047,DebitCard,04-01-2024,P20408,136546,,Axis
SO240206,25812,BankTransferEMI,04-01-2024,P20409,22500,LDE3106,HDFC
SO240207,28969,BankTransfer,04-01-2024,P20410,61190,,Canara Bank
SO240208,25154,Cash,04-01-2024,P20411,83000,,NetCash
SO240209,30153,CreditCard,04-01-2024,P20412,22950,LDE3109,Axis
SO240210,30513,Cash,04-01-2024,P20413,72120,,NetCash
SO240211,25445,CreditCard,04-01-2024,P20414,37014.9,LDE3111,HDFC
SO240212,26693,Cash,05-01-2024,P20415,68500,,NetCash
SO240213,28077,UPI,05-01-2024,P20416,57000,LDE3113,Andhra Bank
SO240214,29788,BankTransfer,05-01-2024,P20417,68500,,ICICI
SO240215,26111,BankTransferEMI,05-01-2024,P20418,21600,LDE3115,Andhra Bank
SO240216,26336,CreditCard,05-01-2024,P20419,24285,LDE3116,ICICI
SO240217,28517,AutoDebitEMI,05-01-2024,P20420,37200,LDE3117,HDFC
SO240218,30636,CreditCard,05-01-2024,P20421,40200,LDE3118,Axis
SO240219,27360,Cash,05-01-2024,P20422,116500,,NetCash
SO240220,29268,DebitCard,05-01-2024,P20423,54500,,ICICI
SO240221,25904,DebitCard,05-01-2024,P20424,107500,,Axis
SO240222,27400,Cash,05-01-2024,P20425,67740,,NetCash
SO240223,27632,DebitCard,05-01-2024,P20426,92770,,Canara Bank
SO240224,25188,Cash,05-01-2024,P20427,74500,,NetCash
SO240225,26874,BankTransferEMI,05-01-2024,P20428,34746.3,LDE3125,Axis
SO240226,29159,BankTransferEMI,05-01-2024,P20429,20535,LDE3126,Canara Bank
SO240227,30722,BankTransferEMI,05-01-2024,P20430,22950,LDE3127,Canara Bank
SO240228,27948,AutoDebitEMI,05-01-2024,P20431,20400,LDE3128,HDFC
SO240229,25822,UPI,05-01-2024,P20432,29550,LDE3129,Andhra Bank
SO240230,30433,DebitCard,05-01-2024,P20433,52696,,HDFC
SO240231,26976,UPI,05-01-2024,P20434,84300,LDE3131,ICICI
SO240232,27562,AutoDebitEMI,05-01-2024,P20435,24450,LDE3132,ICICI
SO240233,26661,Cash,05-01-2024,P20436,129738,,NetCash
SO240234,28113,DebitCard,05-01-2024,P20437,72500,,ICICI
SO240235,26782,BankTransfer,05-01-2024,P20438,96835,,HDFC
SO240236,27826,Cash,05-01-2024,P20439,110000,,NetCash
SO240237,27554,CreditCard,05-01-2024,P20440,79950,LDE3137,HDFC
SO240238,29073,CreditCard,05-01-2024,P20441,19002,LDE3138,HDFC
SO240239,27985,DebitCard,05-01-2024,P20442,92770,,HDFC
SO240240,28715,CreditCard,06-01-2024,P20443,58602,LDE3140,ICICI
SO240241,28902,UPI,06-01-2024,P20444,54870,LDE3141,HDFC
SO240242,27919,BankTransfer,06-01-2024,P20445,159945,,ICICI
SO240243,25244,AutoDebitEMI,06-01-2024,P20446,58602,LDE3143,ICICI
SO240244,27970,BankTransferEMI,06-01-2024,P20447,22200,LDE3144,Andhra Bank
SO240245,26774,CreditCard,06-01-2024,P20448,59250,LDE3145,Canara Bank
SO240246,26907,UPI,06-01-2024,P20449,37245,LDE3146,Andhra Bank
SO240247,26855,BankTransfer,06-01-2024,P20450,96835,,Axis
SO240248,28547,Cash,06-01-2024,P20451,109000,,NetCash
SO240249,25033,Cash,06-01-2024,P20452,182000,,NetCash
SO240250,27223,BankTransfer,06-01-2024,P20453,80000,,Axis
SO240251,29705,BankTransfer,06-01-2024,P20454,68970,,Axis
SO240252,29259,CreditCard,06-01-2024,P20455,19932,LDE3152,Axis
SO240253,25782,BankTransfer,06-01-2024,P20456,107000,,ICICI
SO240254,26976,AutoDebitEMI,06-01-2024,P20457,28350,LDE3154,Andhra Bank
SO240255,26160,AutoDebitEMI,06-01-2024,P20458,20826,LDE3155,ICICI
SO240256,27739,UPI,06-01-2024,P20459,16755.6,LDE3156,Andhra Bank
SO240257,25081,DebitCard,06-01-2024,P20460,190500,,Andhra Bank
SO240258,26330,BankTransfer,06-01-2024,P20461,81500,,Canara Bank
SO240259,27669,BankTransfer,06-01-2024,P20462,129664,,HDFC
SO240260,26842,AutoDebitEMI,06-01-2024,P20463,45749.7,LDE3160,Canara Bank
SO240261,30458,UPI,06-01-2024,P20464,20541,LDE3161,Andhra Bank
SO240262,30672,AutoDebitEMI,06-01-2024,P20465,29400,LDE3162,ICICI
SO240263,30918,DebitCard,06-01-2024,P20466,107000,,ICICI
SO240264,27971,UPI,06-01-2024,P20467,54450,LDE3164,Andhra Bank
SO240265,28213,DebitCard,06-01-2024,P20468,68500,,ICICI
SO240266,29684,BankTransferEMI,06-01-2024,P20469,27343.2,LDE3166,HDFC
SO240267,28605,BankTransferEMI,06-01-2024,P20470,21150,LDE3167,Canara Bank
SO240268,28911,DebitCard,07-01-2024,P20471,231000,,Canara Bank
SO240269,30961,DebitCard,07-01-2024,P20472,71500,,Canara Bank
SO240270,28492,DebitCard,07-01-2024,P20473,147500,,Axis
SO240271,26147,CreditCard,07-01-2024,P20474,20699.7,LDE3171,Axis
SO240272,30704,Cash,07-01-2024,P20475,69050,,NetCash
SO240273,27954,BankTransferEMI,07-01-2024,P20476,67950,LDE3173,ICICI
SO240274,30204,UPI,07-01-2024,P20477,16719.6,LDE3174,Andhra Bank
SO240275,25391,AutoDebitEMI,07-01-2024,P20478,23250,LDE3175,Axis
SO240276,30885,BankTransferEMI,07-01-2024,P20479,39741,LDE3176,Canara Bank
SO240277,25157,Cash,07-01-2024,P20480,104904,,NetCash
SO240278,28446,CreditCard,07-01-2024,P20481,44250,LDE3178,ICICI
SO240279,27549,Cash,07-01-2024,P20482,49114,,NetCash
SO240280,26488,DebitCard,07-01-2024,P20483,97520,,Canara Bank
SO240281,30225,BankTransferEMI,07-01-2024,P20484,27637.5,LDE3181,Canara Bank
SO240282,27804,BankTransfer,07-01-2024,P20485,83500,,Andhra Bank
SO240283,26979,DebitCard,07-01-2024,P20486,147500,,HDFC
SO240284,29547,DebitCard,07-01-2024,P20487,69920,,Axis
SO240285,28477,AutoDebitEMI,07-01-2024,P20488,25050,LDE3185,HDFC
SO240286,28960,UPI,07-01-2024,P20489,29397,LDE3186,Axis
SO240287,28581,BankTransfer,07-01-2024,P20490,97990,,HDFC
SO240288,25470,BankTransferEMI,07-01-2024,P20491,59250,LDE3188,ICICI
SO240289,26430,DebitCard,07-01-2024,P20492,94000,,Axis
SO240290,29852,BankTransferEMI,07-01-2024,P20493,21000,LDE3190,Canara Bank
SO240291,29028,AutoDebitEMI,07-01-2024,P20494,22200,LDE3191,HDFC
SO240292,28280,Cash,07-01-2024,P20495,182000,,NetCash
SO240293,27390,AutoDebitEMI,07-01-2024,P20496,23250,LDE3193,ICICI
SO240294,29119,CreditCard,07-01-2024,P20497,32700,LDE3194,ICICI
SO240295,29946,CreditCard,07-01-2024,P20498,22650,LDE3195,ICICI
SO240296,27028,Cash,08-01-2024,P20499,115321,,NetCash
SO240297,25657,UPI,08-01-2024,P20500,20541,LDE3197,ICICI
SO240298,27916,CreditCard,08-01-2024,P20501,20849.7,LDE3198,Axis
SO240299,29068,CreditCard,08-01-2024,P20502,27600,LDE3199,Andhra Bank
SO240300,30664,CreditCard,08-01-2024,P20503,26100,LDE3200,ICICI
SO240301,30530,UPI,08-01-2024,P20504,21600,LDE3201,ICICI
SO240302,26002,UPI,08-01-2024,P20505,16350,LDE3202,Andhra Bank
SO240303,30341,Cash,08-01-2024,P20506,132970,,NetCash
SO240304,30757,Cash,08-01-2024,P20507,69500,,NetCash
SO240305,30355,Cash,08-01-2024,P20508,116000,,NetCash
SO240306,28476,BankTransferEMI,08-01-2024,P20509,20691,LDE3206,Andhra Bank
SO240307,26093,BankTransferEMI,08-01-2024,P20510,21000,LDE3207,HDFC
SO240308,26930,BankTransfer,08-01-2024,P20511,226500,,Canara Bank
SO240309,29709,BankTransferEMI,08-01-2024,P20512,29547,LDE3209,HDFC
SO240310,30522,Cash,08-01-2024,P20513,124500,,NetCash
SO240311,29755,BankTransfer,08-01-2024,P20514,151999,,Canara Bank
SO240312,30876,BankTransferEMI,08-01-2024,P20515,20849.7,LDE3212,ICICI
SO240313,26201,AutoDebitEMI,08-01-2024,P20516,25812,LDE3213,Andhra Bank
SO240314,29254,BankTransfer,08-01-2024,P20517,116500,,Axis
SO240315,27887,AutoDebitEMI,08-01-2024,P20518,34596.3,LDE3215,HDFC
SO240316,29603,CreditCard,08-01-2024,P20519,26100,LDE3216,Andhra Bank
SO240317,27759,BankTransfer,08-01-2024,P20520,90010,,Canara Bank
SO240318,30094,CreditCard,08-01-2024,P20521,17742,LDE3218,Canara Bank
SO240319,26089,UPI,08-01-2024,P20522,26700,LDE3219,HDFC
SO240320,26777,DebitCard,08-01-2024,P20523,129738,,HDFC
SO240321,29107,Cash,08-01-2024,P20524,122500,,NetCash
SO240322,26753,UPI,08-01-2024,P20525,39891,LDE3222,Andhra Bank
SO240323,26174,DebitCard,08-01-2024,P20526,114500,,ICICI
SO240324,25201,DebitCard,09-01-2024,P20527,34500,,Axis
SO240325,26024,AutoDebitEMI,09-01-2024,P20528,43200,LDE3225,Canara Bank
SO240326,26198,DebitCard,09-01-2024,P20529,53000,,HDFC
SO240327,26191,CreditCard,09-01-2024,P20530,22050,LDE3227,ICICI
SO240328,26568,AutoDebitEMI,09-01-2024,P20531,21450,LDE3228,Axis
SO240329,25425,BankTransferEMI,09-01-2024,P20532,33803.7,LDE3229,HDFC
SO240330,26490,AutoDebitEMI,09-01-2024,P20533,20706,LDE3230,Canara Bank
SO240331,28648,BankTransfer,09-01-2024,P20534,77481,,ICICI
SO240332,28614,UPI,09-01-2024,P20535,23250,LDE3232,Andhra Bank
SO240333,26609,AutoDebitEMI,09-01-2024,P20536,16869.6,LDE3233,Andhra Bank
SO240334,26226,BankTransferEMI,09-01-2024,P20537,24135,LDE3234,Axis
SO240335,29118,AutoDebitEMI,09-01-2024,P20538,39600,LDE3235,Canara Bank
SO240336,25257,BankTransferEMI,09-01-2024,P20539,21900,LDE3236,ICICI
SO240337,29714,DebitCard,09-01-2024,P20540,79999,,ICICI
SO240338,25450,AutoDebitEMI,09-01-2024,P20541,53100,LDE3238,Axis
SO240339,29810,CreditCard,09-01-2024,P20542,56250,LDE3239,Andhra Bank
SO240340,25745,Cash,09-01-2024,P20543,77499,,NetCash
SO240341,29742,DebitCard,09-01-2024,P20544,197500,,ICICI
SO240342,27600,Cash,09-01-2024,P20545,109000,,NetCash
SO240343,25191,BankTransferEMI,09-01-2024,P20546,22509,LDE3243,Canara Bank
SO240344,27306,AutoDebitEMI,09-01-2024,P20547,56802,LDE3244,Axis
SO240345,30376,CreditCard,09-01-2024,P20548,57150,LDE3245,HDFC
SO240346,28520,Cash,09-01-2024,P20549,74530,,NetCash
SO240347,30019,BankTransferEMI,09-01-2024,P20550,26250,LDE3247,Andhra Bank
SO240348,27174,BankTransferEMI,09-01-2024,P20551,21150,LDE3248,ICICI
SO240349,27688,UPI,09-01-2024,P20552,22509,LDE3249,HDFC
SO240350,28449,AutoDebitEMI,09-01-2024,P20553,24750,LDE3250,Canara Bank
SO240351,27438,BankTransfer,09-01-2024,P20554,94000,,Axis
SO240352,26589,Cash,10-01-2024,P20555,82750,,NetCash
SO240353,29909,BankTransferEMI,10-01-2024,P20556,20700,LDE3253,HDFC
SO240354,28354,DebitCard,10-01-2024,P20557,80450,,ICICI
SO240355,25921,DebitCard,10-01-2024,P20558,63500,,Axis
SO240356,29131,UPI,10-01-2024,P20559,20550,LDE3256,Axis
SO240357,26244,Cash,10-01-2024,P20560,97520,,NetCash
SO240358,29362,AutoDebitEMI,10-01-2024,P20561,10200,LDE3258,HDFC
SO240359,26475,DebitCard,10-01-2024,P20562,34500,,Axis
SO240360,29819,BankTransfer,10-01-2024,P20563,71250,,Andhra Bank
SO240361,26223,AutoDebitEMI,10-01-2024,P20564,24669,LDE3261,Canara Bank
SO240362,30747,Cash,10-01-2024,P20565,55023,,NetCash
SO240363,25112,Cash,10-01-2024,P20566,89500,,NetCash
SO240364,25727,DebitCard,10-01-2024,P20567,109500,,HDFC
SO240365,30298,BankTransfer,10-01-2024,P20568,44614,,ICICI
SO240366,29540,BankTransfer,10-01-2024,P20569,52330,,ICICI
SO240367,28505,BankTransfer,10-01-2024,P20570,69500,,Axis
SO240368,27886,AutoDebitEMI,10-01-2024,P20571,33750,LDE3268,ICICI
SO240369,30650,DebitCard,10-01-2024,P20572,92000,,Axis
SO240370,30031,CreditCard,10-01-2024,P20573,23400,LDE3270,Canara Bank
SO240371,26114,AutoDebitEMI,10-01-2024,P20574,33000,LDE3271,HDFC
SO240372,30389,DebitCard,10-01-2024,P20575,85930,,Andhra Bank
SO240373,25587,DebitCard,10-01-2024,P20576,69500,,Canara Bank
SO240374,27408,BankTransferEMI,10-01-2024,P20577,23244.3,LDE3274,Axis
SO240375,30777,DebitCard,10-01-2024,P20578,124500,,ICICI
SO240376,28801,BankTransferEMI,10-01-2024,P20579,40963.8,LDE3276,Andhra Bank
SO240377,29283,CreditCard,10-01-2024,P20580,24150,LDE3277,HDFC
SO240378,26742,CreditCard,10-01-2024,P20581,20100,LDE3278,Andhra Bank
SO240379,28118,Cash,10-01-2024,P20582,105404,,NetCash
SO240380,30025,BankTransferEMI,11-01-2024,P20583,22350,LDE3280,ICICI
SO240381,29732,AutoDebitEMI,11-01-2024,P20584,15900,LDE3281,Andhra Bank
SO240382,26170,BankTransfer,11-01-2024,P20585,194840,,Axis
SO240383,29145,UPI,11-01-2024,P20586,38899.2,LDE3283,ICICI
SO240384,29782,BankTransfer,11-01-2024,P20587,80499,,Canara Bank
SO240385,26808,UPI,11-01-2024,P20588,34800,LDE3285,ICICI
SO240386,25805,UPI,11-01-2024,P20589,20250,LDE3286,Canara Bank
SO240387,29402,BankTransfer,11-01-2024,P20590,157500,,Andhra Bank
SO240388,30706,BankTransfer,11-01-2024,P20591,132000,,Axis
SO240389,26038,Cash,11-01-2024,P20592,56232,,NetCash
SO240390,29906,Cash,11-01-2024,P20593,231000,,NetCash
SO240391,25879,BankTransferEMI,11-01-2024,P20594,21150,LDE3291,Axis
SO240392,28913,Cash,11-01-2024,P20595,181570,,NetCash
SO240393,30731,BankTransfer,11-01-2024,P20596,77000,,HDFC
SO240394,29631,AutoDebitEMI,11-01-2024,P20597,20541,LDE3294,Canara Bank
SO240395,25591,Cash,11-01-2024,P20598,80500,,NetCash
SO240396,26055,BankTransfer,11-01-2024,P20599,82230,,HDFC
SO240397,30910,BankTransfer,11-01-2024,P20600,55352,,Andhra Bank
SO240398,30578,BankTransferEMI,11-01-2024,P20601,25377,LDE3298,Axis
SO240399,27376,UPI,11-01-2024,P20602,29160,LDE3299,Axis
SO240400,28615,Cash,11-01-2024,P20603,68999,,NetCash
SO240401,30730,DebitCard,11-01-2024,P20604,92125,,Canara Bank
SO240402,25950,CreditCard,11-01-2024,P20605,13141.2,LDE3302,HDFC
SO240403,29575,AutoDebitEMI,11-01-2024,P20606,34200,LDE3303,Axis
SO240404,30129,CreditCard,11-01-2024,P20607,39891,LDE3304,HDFC
SO240405,30398,AutoDebitEMI,11-01-2024,P20608,19050,LDE3305,Canara Bank
SO240406,27277,BankTransferEMI,11-01-2024,P20609,22359,LDE3306,ICICI
SO240407,28171,BankTransferEMI,11-01-2024,P20610,20691,LDE3307,Axis
SO240408,25565,CreditCard,12-01-2024,P20611,23249.7,LDE3308,ICICI
SO240409,25612,UPI,12-01-2024,P20612,34746.3,LDE3309,Andhra Bank
SO240410,26550,DebitCard,12-01-2024,P20613,116000,,ICICI
SO240411,29962,UPI,12-01-2024,P20614,24669,LDE3311,HDFC
SO240412,29892,BankTransfer,12-01-2024,P20615,77481,,Canara Bank
SO240413,30306,BankTransferEMI,12-01-2024,P20616,32100,LDE3313,Andhra Bank
SO240414,28412,AutoDebitEMI,12-01-2024,P20617,27750,LDE3314,Andhra Bank
SO240415,25882,BankTransfer,12-01-2024,P20618,66412,,HDFC
SO240416,29246,Cash,12-01-2024,P20619,129426,,NetCash
SO240417,30026,CreditCard,12-01-2024,P20620,33750,LDE3317,ICICI
SO240418,28613,AutoDebitEMI,12-01-2024,P20621,27343.2,LDE3318,Andhra Bank
SO240419,29367,DebitCard,12-01-2024,P20622,49614,,ICICI
SO240420,30218,BankTransferEMI,12-01-2024,P20623,22500,LDE3320,HDFC
SO240421,25449,BankTransferEMI,12-01-2024,P20624,20550,LDE3321,Andhra Bank
SO240422,29534,BankTransferEMI,12-01-2024,P20625,27153,LDE3322,Andhra Bank
SO240423,25028,UPI,12-01-2024,P20626,34950,LDE3323,HDFC
SO240424,30729,UPI,12-01-2024,P20627,79800,LDE3324,Andhra Bank
SO240425,29636,BankTransferEMI,12-01-2024,P20628,29200.5,LDE3325,Canara Bank
SO240426,26789,DebitCard,12-01-2024,P20629,112679,,HDFC
SO240427,29434,UPI,12-01-2024,P20630,23250,LDE3327,Andhra Bank
SO240428,27683,Cash,12-01-2024,P20631,69500,,NetCash
SO240429,28714,BankTransferEMI,12-01-2024,P20632,32700,LDE3329,Andhra Bank
SO240430,26138,Cash,12-01-2024,P20633,87990,,NetCash
SO240431,29722,DebitCard,12-01-2024,P20634,181500,,HDFC
SO240432,30238,Cash,12-01-2024,P20635,129926,,NetCash
SO240433,27823,BankTransfer,12-01-2024,P20636,54000,,HDFC
SO240434,30282,DebitCard,12-01-2024,P20637,124000,,HDFC
SO240435,27179,CreditCard,12-01-2024,P20638,84300,LDE3335,Axis
SO240436,26635,BankTransfer,13-01-2024,P20639,49000,,HDFC
SO240437,25856,BankTransferEMI,13-01-2024,P20640,32850,LDE3337,Andhra Bank
SO240438,29120,AutoDebitEMI,13-01-2024,P20641,22950,LDE3338,Canara Bank
SO240439,25837,DebitCard,13-01-2024,P20642,44114,,ICICI
SO240440,26651,DebitCard,13-01-2024,P20643,77000,,Andhra Bank
SO240441,29920,AutoDebitEMI,13-01-2024,P20644,57600,LDE3341,ICICI
SO240442,25011,Cash,13-01-2024,P20645,68999,,NetCash
SO240443,28541,CreditCard,13-01-2024,P20646,23999.7,LDE3343,Andhra Bank
SO240444,30586,DebitCard,13-01-2024,P20647,82500,,HDFC
SO240445,27625,BankTransfer,13-01-2024,P20648,144500,,Andhra Bank
SO240446,30853,BankTransferEMI,13-01-2024,P20649,23400,LDE3346,Andhra Bank
SO240447,30576,UPI,13-01-2024,P20650,14449.2,LDE3347,Andhra Bank
SO240448,28508,DebitCard,13-01-2024,P20651,73480,,Andhra Bank
SO240449,29349,BankTransferEMI,13-01-2024,P20652,32700,LDE3349,Andhra Bank
SO240450,26817,DebitCard,13-01-2024,P20653,147500,,Axis
SO240451,25281,Cash,13-01-2024,P20654,182900,,NetCash
SO240452,28118,AutoDebitEMI,13-01-2024,P20655,79950,LDE3352,Canara Bank
SO240453,29007,AutoDebitEMI,13-01-2024,P20656,47983.5,LDE3353,Canara Bank
SO240454,28747,Cash,13-01-2024,P20657,151999,,NetCash
SO240455,30103,DebitCard,13-01-2024,P20658,68000,,Canara Bank
SO240456,28884,CreditCard,13-01-2024,P20659,36750,LDE3356,Andhra Bank
SO240457,28787,BankTransfer,13-01-2024,P20660,91144,,Canara Bank
SO240458,26013,BankTransfer,13-01-2024,P20661,116500,,Axis
SO240459,25360,BankTransferEMI,13-01-2024,P20662,16506.9,LDE3359,ICICI
SO240460,30701,BankTransferEMI,13-01-2024,P20663,91950,LDE3360,Canara Bank
SO240461,25356,BankTransferEMI,13-01-2024,P20664,22509,LDE3361,Andhra Bank
SO240462,27568,CreditCard,13-01-2024,P20665,20685,LDE3362,HDFC
SO240463,30011,CreditCard,13-01-2024,P20666,24600,LDE3363,ICICI
