SalesID,CustID,PaymentMethod,Payment Date,PaymentID,PaymentAmount,LoanID,Bank Name
SO230302,24710,AutoDebitEMI,08-01-2023,P10286,25812,LDC2202,Canara Bank
SO230303,20726,AutoDebitEMI,08-01-2023,P10287,25812,LDC2203,Andhra Bank
SO230304,18261,BankTransferEMI,08-01-2023,P10288,21450,LDC2204,HDFC
SO230305,19736,AutoDebitEMI,08-01-2023,P10289,85800,LDC2205,HDFC
SO230306,18145,AutoDebitEMI,08-01-2023,P10290,23550,LDC2206,Axis
SO230307,18285,AutoDebitEMI,08-01-2023,P10291,54600,LDC2207,Andhra Bank
SO230308,23792,CreditCard,08-01-2023,P10292,14700,LDC2208,ICICI
SO230309,22709,BankTransferEMI,08-01-2023,P10293,21600,LDC2209,Andhra Bank
SO230310,20883,Cash,08-01-2023,P10294,197000,,NetCash
SO230311,24750,BankTransferEMI,08-01-2023,P10295,29256,LDC2211,Axis
SO230312,24753,Cash,08-01-2023,P10296,80000,,NetCash
SO230313,20956,BankTransferEMI,08-01-2023,P10297,20550,LDC2213,Canara Bank
SO230314,21798,Cash,08-01-2023,P10298,96070,,NetCash
SO230315,21978,BankTransferEMI,08-01-2023,P10299,45749.7,LDC2215,Axis
SO230316,24428,DebitCard,08-01-2023,P10300,92770,,Axis
SO230317,21876,BankTransfer,08-01-2023,P10301,68950,,ICICI
SO230318,18988,AutoDebitEMI,08-01-2023,P10302,10350,LDC2218,Canara Bank
SO230319,20962,BankTransfer,08-01-2023,P10303,96835,,Andhra Bank
SO230320,22530,DebitCard,08-01-2023,P10304,82500,,Axis
SO230321,20607,CreditCard,08-01-2023,P10305,23081.4,LDC2221,HDFC
SO230322,23404,AutoDebitEMI,08-01-2023,P10306,32100,LDC2222,ICICI
SO230323,24841,BankTransfer,08-01-2023,P10307,169500,,Axis
SO230324,18049,CreditCard,09-01-2023,P10308,32850,LDC2224,HDFC
SO230325,19876,DebitCard,09-01-2023,P10309,71500,,Canara Bank
SO230326,24550,UPI,09-01-2023,P10310,32250,LDC2226,Canara Bank
SO230327,24762,BankTransferEMI,09-01-2023,P10311,18942,LDC2227,HDFC
SO230328,21637,UPI,09-01-2023,P10312,24669,LDC2228,ICICI
SO230329,19129,DebitCard,09-01-2023,P10313,189840,,Canara Bank
SO230330,19986,UPI,09-01-2023,P10314,21900,LDC2230,Andhra Bank
SO230331,18272,BankTransferEMI,09-01-2023,P10315,53250,LDC2231,HDFC
SO230332,19216,BankTransferEMI,09-01-2023,P10316,61950,LDC2232,Andhra Bank
SO230333,21027,BankTransfer,09-01-2023,P10317,69500,,HDFC
SO230334,21800,BankTransferEMI,09-01-2023,P10318,22050,LDC2234,Andhra Bank
SO230335,23811,DebitCard,09-01-2023,P10319,10077,,ICICI
SO230336,21183,AutoDebitEMI,09-01-2023,P10320,15808.8,LDC2236,Axis
SO230337,20922,DebitCard,09-01-2023,P10321,115500,,HDFC
SO230338,19289,CreditCard,09-01-2023,P10322,45599.7,LDC2238,Canara Bank
SO230339,24513,CreditCard,09-01-2023,P10323,10200,LDC2239,Canara Bank
SO230340,19262,DebitCard,09-01-2023,P10324,97250,,ICICI
SO230341,19991,CreditCard,09-01-2023,P10325,27450,LDC2241,Canara Bank
SO230342,24838,BankTransfer,09-01-2023,P10326,122000,,ICICI
SO230343,19785,BankTransfer,09-01-2023,P10327,81999,,Canara Bank
SO230344,23592,CreditCard,09-01-2023,P10328,27900,LDC2244,Andhra Bank
SO230345,24826,UPI,09-01-2023,P10329,32250,LDC2245,HDFC
SO230346,20325,AutoDebitEMI,09-01-2023,P10330,14884.2,LDC2246,ICICI
SO230347,18890,BankTransferEMI,09-01-2023,P10331,20400,LDC2247,Andhra Bank
SO230348,23541,AutoDebitEMI,09-01-2023,P10332,16506.9,LDC2248,Andhra Bank
SO230349,23325,AutoDebitEMI,09-01-2023,P10333,18900,LDC2249,HDFC
SO230350,23725,DebitCard,09-01-2023,P10334,226500,,Canara Bank
SO230351,24793,UPI,09-01-2023,P10335,20535,LDC2251,HDFC
SO230352,18183,DebitCard,10-01-2023,P10336,94000,,Axis
SO230353,23554,BankTransfer,10-01-2023,P10337,195340,,HDFC
SO230354,23080,CreditCard,10-01-2023,P10338,36600,LDC2254,HDFC
SO230355,23846,UPI,10-01-2023,P10339,27003,LDC2255,Andhra Bank
SO230356,22872,UPI,10-01-2023,P10340,32100,LDC2256,Canara Bank
SO230357,20378,DebitCard,10-01-2023,P10341,73980,,ICICI
SO230358,23462,BankTransfer,10-01-2023,P10342,71500,,ICICI
SO230359,21161,Cash,10-01-2023,P10343,74000,,NetCash
SO230360,22383,BankTransfer,10-01-2023,P10344,107000,,HDFC
SO230361,23549,DebitCard,10-01-2023,P10345,130238,,HDFC
SO230362,23665,CreditCard,10-01-2023,P10346,22500,LDC2262,Andhra Bank
SO230363,23017,Cash,10-01-2023,P10347,80950,,NetCash
SO230364,23128,DebitCard,10-01-2023,P10348,206500,,HDFC
SO230365,21754,DebitCard,10-01-2023,P10349,49114,,Axis
SO230366,22671,BankTransfer,10-01-2023,P10350,177500,,HDFC
SO230367,21921,BankTransfer,10-01-2023,P10351,54000,,HDFC
SO230368,21511,BankTransfer,10-01-2023,P10352,115000,,Canara Bank
SO230369,19000,BankTransfer,10-01-2023,P10353,70500,,Andhra Bank
SO230370,19544,Cash,10-01-2023,P10354,55523,,NetCash
SO230371,19569,CreditCard,10-01-2023,P10355,27840,LDC2271,Andhra Bank
SO230372,21871,UPI,10-01-2023,P10356,23400,LDC2272,Axis
SO230373,20482,AutoDebitEMI,10-01-2023,P10357,31471.2,LDC2273,Canara Bank
SO230374,19365,BankTransferEMI,10-01-2023,P10358,56952,LDC2274,ICICI
SO230375,20984,DebitCard,10-01-2023,P10359,306000,,ICICI
SO230376,24101,UPI,10-01-2023,P10360,34200,LDC2276,HDFC
SO230377,22892,DebitCard,10-01-2023,P10361,92500,,HDFC
SO230378,18328,CreditCard,10-01-2023,P10362,32700,LDC2278,HDFC
SO230379,19665,BankTransferEMI,10-01-2023,P10363,23100,LDC2279,HDFC
SO230380,18749,DebitCard,11-01-2023,P10364,85930,,Axis
SO230381,21892,Cash,11-01-2023,P10365,78000,,NetCash
SO230382,20322,CreditCard,11-01-2023,P10366,26250,LDC2282,Axis
SO230383,21212,CreditCard,11-01-2023,P10367,17742,LDC2283,HDFC
SO230384,20290,BankTransferEMI,11-01-2023,P10368,12991.2,LDC2284,Andhra Bank
SO230385,21665,BankTransfer,11-01-2023,P10369,306500,,Axis
SO230386,19504,UPI,11-01-2023,P10370,3023.1,LDC2286,Andhra Bank
SO230387,21407,UPI,11-01-2023,P10371,38921.4,LDC2287,Axis
SO230388,18595,UPI,11-01-2023,P10372,47100,LDC2288,Andhra Bank
SO230389,22957,UPI,11-01-2023,P10373,24900,LDC2289,Axis
SO230390,20701,CreditCard,11-01-2023,P10374,20535,LDC2290,HDFC
SO230391,21052,BankTransfer,11-01-2023,P10375,84590,,Andhra Bank
SO230392,23682,Cash,11-01-2023,P10376,44000,,NetCash
SO230393,23745,BankTransfer,11-01-2023,P10377,69920,,ICICI
SO230394,20518,AutoDebitEMI,11-01-2023,P10378,26700,LDC2294,ICICI
SO230395,23755,AutoDebitEMI,11-01-2023,P10379,24825,LDC2295,Andhra Bank
SO230396,24871,BankTransfer,11-01-2023,P10380,78000,,ICICI
SO230397,19463,BankTransfer,11-01-2023,P10381,115821,,HDFC
SO230398,19791,DebitCard,11-01-2023,P10382,84590,,HDFC
SO230399,22836,DebitCard,11-01-2023,P10383,92125,,Axis
SO230400,23660,AutoDebitEMI,11-01-2023,P10384,28671,LDC2300,HDFC
SO230401,24783,CreditCard,11-01-2023,P10385,23550,LDC2301,Axis
SO230402,22181,AutoDebitEMI,11-01-2023,P10386,53100,LDC2302,Canara Bank
SO230403,19015,BankTransferEMI,11-01-2023,P10387,27343.2,LDC2303,ICICI
SO230404,22314,Cash,11-01-2023,P10388,69500,,NetCash
SO230405,18158,AutoDebitEMI,11-01-2023,P10389,22931.4,LDC2305,Andhra Bank
SO230406,23620,BankTransferEMI,11-01-2023,P10390,32100,LDC2306,ICICI
SO230407,23191,Cash,11-01-2023,P10391,69499,,NetCash
SO230408,20623,DebitCard,12-01-2023,P10392,68000,,ICICI
SO230409,21999,AutoDebitEMI,12-01-2023,P10393,36600,LDC2309,ICICI
SO230410,24020,CreditCard,12-01-2023,P10394,29400,LDC2310,Andhra Bank
SO230411,22382,Cash,12-01-2023,P10395,190000,,NetCash
SO230412,19049,Cash,12-01-2023,P10396,74000,,NetCash
SO230413,20917,BankTransferEMI,12-01-2023,P10397,27900,LDC2313,Axis
SO230414,19226,Cash,12-01-2023,P10398,68500,,NetCash
SO230415,19885,UPI,12-01-2023,P10399,38899.2,LDC2315,Axis
SO230416,19931,BankTransfer,12-01-2023,P10400,64000,,Andhra Bank
SO230417,19927,BankTransferEMI,12-01-2023,P10401,16350,LDC2317,HDFC
SO230418,23562,DebitCard,12-01-2023,P10402,71750,,Andhra Bank
SO230419,21650,BankTransferEMI,12-01-2023,P10403,57150,LDC2319,HDFC
SO230420,20462,DebitCard,12-01-2023,P10404,114500,,Canara Bank
SO230421,23402,UPI,12-01-2023,P10405,56250,LDC2321,HDFC
SO230422,23787,UPI,12-01-2023,P10406,82800,LDC2322,Axis
SO230423,18979,BankTransferEMI,12-01-2023,P10407,22359,LDC2323,Axis
SO230424,22875,DebitCard,12-01-2023,P10408,72000,,ICICI
SO230425,23634,BankTransfer,12-01-2023,P10409,112679,,Axis
SO230426,18650,BankTransfer,12-01-2023,P10410,89000,,Andhra Bank
SO230427,19121,CreditCard,12-01-2023,P10411,20865,LDC2327,ICICI
SO230428,19187,Cash,12-01-2023,P10412,72000,,NetCash
SO230429,24862,CreditCard,12-01-2023,P10413,33803.7,LDC2329,Canara Bank
SO230430,20634,CreditCard,12-01-2023,P10414,20691,LDC2330,Canara Bank
SO230431,22894,CreditCard,12-01-2023,P10415,24750,LDC2331,Axis
SO230432,23269,UPI,12-01-2023,P10416,22950,LDC2332,Canara Bank
SO230433,21401,AutoDebitEMI,12-01-2023,P10417,22931.4,LDC2333,Axis
SO230434,24280,Cash,12-01-2023,P10418,159445,,NetCash
SO230435,23043,CreditCard,12-01-2023,P10419,23400,LDC2335,HDFC
SO230436,19440,CreditCard,13-01-2023,P10420,21000,LDC2336,HDFC
SO230437,20144,AutoDebitEMI,13-01-2023,P10421,24000,LDC2337,ICICI
SO230438,21255,AutoDebitEMI,13-01-2023,P10422,27990,LDC2338,Andhra Bank
SO230439,18394,DebitCard,13-01-2023,P10423,49500,,Andhra Bank
SO230440,23997,CreditCard,13-01-2023,P10424,20073.6,LDC2340,Andhra Bank
SO230441,20394,DebitCard,13-01-2023,P10425,197000,,HDFC
SO230442,20150,Cash,13-01-2023,P10426,82000,,NetCash
SO230443,21914,BankTransfer,13-01-2023,P10427,94500,,Axis
SO230444,24610,BankTransferEMI,13-01-2023,P10428,54750,LDC2344,ICICI
SO230445,19616,AutoDebitEMI,13-01-2023,P10429,50850,LDC2345,HDFC
SO230446,23595,UPI,13-01-2023,P10430,27600,LDC2346,Canara Bank
SO230447,24848,Cash,13-01-2023,P10431,88490,,NetCash
SO230448,23491,AutoDebitEMI,13-01-2023,P10432,20850,LDC2348,ICICI
SO230449,23064,Cash,13-01-2023,P10433,182400,,NetCash
SO230450,19844,CreditCard,13-01-2023,P10434,23550,LDC2350,ICICI
SO230451,20091,BankTransfer,13-01-2023,P10435,68450,,Canara Bank
SO230452,18245,BankTransfer,13-01-2023,P10436,177000,,Canara Bank
SO230453,19909,UPI,13-01-2023,P10437,23400,LDC2353,HDFC
SO230454,21292,CreditCard,13-01-2023,P10438,57750,LDC2354,Andhra Bank
SO230455,18924,AutoDebitEMI,13-01-2023,P10439,24599.7,LDC2355,ICICI
SO230456,23644,Cash,13-01-2023,P10440,83500,,NetCash
SO230457,20986,BankTransferEMI,13-01-2023,P10441,20685,LDC2357,Andhra Bank
SO230458,23066,UPI,13-01-2023,P10442,23999.7,LDC2358,Axis
SO230459,21010,AutoDebitEMI,13-01-2023,P10443,18852,LDC2359,ICICI
SO230460,19158,Cash,13-01-2023,P10444,109000,,NetCash
SO230461,19329,Cash,13-01-2023,P10445,55852,,NetCash
